n_sim,l,s,cr_mean,glv_mean,div
0.0,0.01,10.0,32.569349901695844,0.15473581169731657,0.0
0.0,0.01,15.0,26.571419815614735,0.1296125392238374,0.0
0.0,0.01,20.0,14.338754182672677,0.07356450921551681,0.0
0.0,0.01,25.0,15.630152190522136,0.07626067250544585,0.0
0.0,0.01,30.0,8.6968347703102,0.04407815516594242,0.0
0.0,0.01,35.0,9.23409790083941,0.05271677294065405,0.0
0.0,0.01,40.0,0.0,0.0,1.0
0.0,0.01,45.0,6.540687617796751,0.04013663508450554,0.0
0.0,0.01,50.0,5.009476510518026,0.03149541537783408,0.0
0.0,0.01,55.0,6.4183577301352805,0.041900798437725595,0.0
0.0,0.05,10.0,0.0,0.0,1.0
0.0,0.05,15.0,22.130388872644726,0.10585424336203417,0.0
0.0,0.05,20.0,16.95033062882313,0.12577883807766738,0.0
0.0,0.05,25.0,12.64970981048321,0.0878019993374862,0.0
0.0,0.05,30.0,0.0,0.0,1.0
0.0,0.05,35.0,8.080212775989015,0.06858727252792737,0.0
0.0,0.05,40.0,7.008875613411016,0.059954248212932645,0.0
0.0,0.05,45.0,0.0,0.0,1.0
0.0,0.05,50.0,6.26235501095137,0.040966296428196484,0.0
0.0,0.05,55.0,5.21614838061536,0.050542805437429485,0.0
0.0,0.09,10.0,39.208177576383186,0.17554671636105618,0.0
0.0,0.09,15.0,23.721574586046017,0.11514181157059614,0.0
0.0,0.09,20.0,17.555784297096235,0.09060847873452388,0.0
0.0,0.09,25.0,13.625550314989525,0.09497426622545042,0.0
0.0,0.09,30.0,11.423646265849921,0.0887525475982672,0.0
0.0,0.09,35.0,9.749635662637159,0.07258992794878867,0.0
0.0,0.09,40.0,7.198160734866667,0.07603183434906506,0.0
0.0,0.09,45.0,7.8991402814090605,0.05736574705428932,0.0
0.0,0.09,50.0,8.493226470646928,0.07842660468515064,0.0
0.0,0.09,55.0,6.402066326258698,0.05958962714601102,0.0
0.0,0.13,10.0,27.40314316158118,0.1378472680263509,0.0
0.0,0.13,15.0,27.339561608596362,0.12234589545214364,0.0
0.0,0.13,20.0,14.356522684693124,0.12237880848876322,0.0
0.0,0.13,25.0,14.201591805305183,0.10938343214473928,0.0
0.0,0.13,30.0,0.0,0.0,1.0
0.0,0.13,35.0,9.508205984852717,0.08448734790382235,0.0
0.0,0.13,40.0,8.323224218224933,0.082223343769292,0.0
0.0,0.13,45.0,6.839572797717407,0.06271376160611083,0.0
0.0,0.13,50.0,9.048128800623756,0.06356947753959773,0.0
0.0,0.13,55.0,0.0,0.0,1.0
0.0,0.17,10.0,33.679701008781365,0.2599756161301231,0.0
0.0,0.17,15.0,23.148219456995996,0.16223444196187203,0.0
0.0,0.17,20.0,21.040010941123295,0.17514048325088297,0.0
0.0,0.17,25.0,0.0,0.0,1.0
0.0,0.17,30.0,13.485328800282776,0.13491868603106708,0.0
0.0,0.17,35.0,8.81545936722136,0.09113113009869862,0.0
0.0,0.17,40.0,7.208092984752466,0.058588712742184,0.0
0.0,0.17,45.0,6.708218325014897,0.04991874269694942,0.0
0.0,0.17,50.0,5.139763198037795,0.05011162938952343,0.0
0.0,0.17,55.0,7.89646510833699,0.0703077275421621,0.0
0.0,0.21000000000000002,10.0,26.60966951213345,0.15775745049283132,0.0
0.0,0.21000000000000002,15.0,18.292680180950356,0.11609412229598084,0.0
0.0,0.21000000000000002,20.0,16.712293912910358,0.16231337656440709,0.0
0.0,0.21000000000000002,25.0,12.66372958708084,0.10527363149690426,0.0
0.0,0.21000000000000002,30.0,9.582235051332914,0.08246576031479917,0.0
0.0,0.21000000000000002,35.0,10.166655663159101,0.09996870960431374,0.0
0.0,0.21000000000000002,40.0,7.1102729919173955,0.061238697713758415,0.0
0.0,0.21000000000000002,45.0,7.265802242581164,0.08291787663405187,0.0
0.0,0.21000000000000002,50.0,6.052089366666662,0.0609356396486271,0.0
0.0,0.21000000000000002,55.0,5.487897000272372,0.06802383415645856,0.0
0.0,0.25,10.0,37.398510675705026,0.22792817013030325,0.0
0.0,0.25,15.0,25.428722010609796,0.12864623887990917,0.0
0.0,0.25,20.0,26.407433754099713,0.1631065255778331,0.0
0.0,0.25,25.0,16.00761891372785,0.15065973046958075,0.0
0.0,0.25,30.0,8.890518451542174,0.06935650835118577,0.0
0.0,0.25,35.0,8.092892942920557,0.07342172760299927,0.0
0.0,0.25,40.0,8.303745456824982,0.10021549601930993,0.0
0.0,0.25,45.0,7.664578406159873,0.08315135624065388,0.0
0.0,0.25,50.0,8.099184394303805,0.057035652430127926,0.0
0.0,0.25,55.0,6.095672671644762,0.06406404789466523,0.0
0.0,0.29000000000000004,10.0,29.822045241115028,0.1843270347789609,0.0
0.0,0.29000000000000004,15.0,24.33883617725963,0.23072789066921942,0.0
0.0,0.29000000000000004,20.0,14.550124217381361,0.08864125506046532,0.0
0.0,0.29000000000000004,25.0,11.80669028234732,0.14863997854471564,0.0
0.0,0.29000000000000004,30.0,10.782211083810179,0.09940410791199507,0.0
0.0,0.29000000000000004,35.0,9.905377127175353,0.08170803369571043,0.0
0.0,0.29000000000000004,40.0,7.221367462118482,0.07075139498017322,0.0
0.0,0.29000000000000004,45.0,5.137107654818975,0.08228377049120914,0.0
0.0,0.29000000000000004,50.0,6.010892126887167,0.07660426697433508,0.0
0.0,0.29000000000000004,55.0,5.724682392486664,0.0655914157315531,0.0
0.0,0.33,10.0,30.95055020272302,0.14363351335630145,0.0
0.0,0.33,15.0,17.92836882481338,0.13055727287507826,0.0
0.0,0.33,20.0,20.086475740271844,0.09699690802413795,0.0
0.0,0.33,25.0,10.717422122918242,0.08245872336441837,0.0
0.0,0.33,30.0,10.868646391791474,0.0775108104320025,0.0
